,Unnamed: 0,Event_ID,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),Grass_Burned(ha),CO2(kg),CO(kg),CH4(kg),NMOC(kg),SO2(kg),NH3(kg),NO(kg),NO2(kg),NOx(kg),PM2.5(kg),OC(kg),BC(kg),TSLF
0,34,CA3607412018819840329,FK 1817,36.074,-120.188,1984,3,592.2,39.87,0.0,463.32,70.83,18.18,20856507.48,1239486.84,29937.492,322518.24,12215.9772,21008.3328,19019.016,14875.6176,29844.288,103903.668,47798.964,16306.8336,2
1,31,CA3525312054719840529,MORETZZ,35.253,-120.547,1984,5,641.61,0.0,222.03,410.94,8.1,0.54,50209362.36,2576115.54,102191.274,741862.08,28720.6326,39468.2886,32026.896,31493.9718,45475.722,304028.298,292160.754,19130.0382,0
2,32,CA3561111844619840526,WOODROW,35.611,-118.446,1984,5,452.34,0.0,0.0,448.29,0.09,3.96,36810166.86,2152906.47,57479.679,552142.08,17788.9437,36294.9021,28099.908,21886.0101,44218.575,194065.299,121231.287,25956.8397,0
3,33,CA3589912013419840525,FLAT TOP,35.899,-120.134,1984,5,2706.75,172.62,0.0,996.57,477.09,1060.47,58965306.3,3360447.9,89526.879,938620.08,44533.0008,55031.5899,60766.533,51567.0993,92202.354,295946.352,137467.242,42068.529,0
4,35,CA3626012031719840525,OIL FIELDS,36.26,-120.317,1984,5,459.09,1.08,0.0,90.63,0.0,367.38,6635393.64,355908.6,10843.038,109683.36,6535.0656,5518.8846,7894.314,7249.833,11548.764,33678.576,15960.996,4103.3628,0
5,38,CA3709812116219840521,COTTONWOOD,37.098,-121.162,1984,5,571.14,9.36,1.17,495.36,65.25,0.0,6539166.72,339860.25,10901.34,111171.6,7472.7765,5096.5614,8628.579,8161.8552,12435.093,32903.091,14286.501,3821.0139,1
6,21,NV3881711969319840628,INDIAN,38.817,-119.693,1984,6,1832.31,24.48,568.8,673.83,495.18,70.02,159286060.3,8901908.01,276652.125,2372299.2,81046.4787,145567.1727,113137.056,95458.9887,172534.185,886676.445,676475.649,93304.5867,0
7,22,NV3961311999619840628,MITCHELL CANYON,39.613,-119.996,1984,6,1749.87,9.9,482.4,604.44,582.66,70.47,172889365.7,9326348.55,323118.108,2559789.36,90907.4331,148700.3634,115526.277,103834.2744,171418.275,1001021.373,859487.643,85748.7501,0
8,30,CA3519712039419840629,BONNHEIM,35.197,-120.394,1984,6,656.55,0.0,83.43,550.26,15.03,7.83,62798907.42,3309902.46,122563.395,926910.0,33861.0672,51853.4919,40464.873,37940.1813,58863.834,372278.808,340240.122,27601.4034,0
9,36,CA3674412094119840602,BONANZA,36.744,-120.941,1984,6,4899.15,16.92,9.99,4870.62,1.35,0.27,241407117.9,13819398.57,387995.391,3671125.92,135981.2511,229001.4081,197112.33,161721.8109,303772.113,1279763.937,808799.625,161369.3835,0
10,39,CA3765112147419840628,SITE 300 3,37.651,-121.474,1984,6,2794.77,0.54,14.94,1883.7,401.67,493.92,28156656.06,1404623.16,48589.353,491999.76,36881.1738,20135.3085,40729.617,39698.1243,57779.028,141552.414,58826.088,14990.0112,0
11,40,CA3800412064719840624,SALT SPRING,38.004,-120.647,1984,6,1957.23,0.36,56.43,1636.56,261.72,2.16,213409874.0,11061782.1,429930.207,3136425.84,115357.2084,171114.3603,131922.585,127608.0417,188996.814,1288748.34,1233604.71,84784.1166,1
12,8,CA3557911838819840707,BODFISH,35.579,-118.388,1984,7,9384.21,0.72,5105.16,3603.6,552.24,122.49,927155400.1,49568471.37,1764521.568,13697843.76,488921.0445,785194.6662,606988.143,554442.156,894041.793,5423580.459,4790174.517,438479.3439,0
13,13,CA3978412169619840702,BIDWELL,39.784,-121.696,1984,7,2432.25,3.33,1230.39,1151.73,46.08,0.72,289938402.9,14278479.57,635131.467,4227301.44,163264.3443,211707.5697,162955.602,173838.6621,221324.049,1837198.845,1955861.253,80504.8155,0
14,16,CA4007812006619840705,TURTLE,40.078,-120.066,1984,7,1610.82,0.0,401.49,1208.88,0.0,0.45,105556529.5,6247376.01,158490.216,1595635.92,52729.9029,106017.345,84911.175,65258.478,134234.685,544139.091,306266.445,78549.1299,0
15,23,NV3977411998919840706,PETERSON,39.774,-119.989,1984,7,124.29,0.09,44.64,55.62,23.85,0.09,11391783.66,631872.36,20133.621,169287.12,5796.0954,10280.3193,7939.413,6784.9839,12043.836,64030.878,50406.192,6439.7592,0
16,37,CA3688312115819840705,PACHECO 2,36.883,-121.158,1984,7,499.14,0.0,38.34,460.8,0.0,0.0,36612696.6,2012312.97,65444.112,546801.84,19723.2813,32487.6582,26195.967,22824.3096,39395.889,206387.595,163423.413,20121.1695,1
17,7,CA3539611983319840819,TWISSELMAN,35.396,-119.833,1984,8,2430.99,129.15,2049.03,249.48,0.27,3.06,99356163.3,5691921.39,158552.091,1516871.52,57438.9585,94302.4581,82965.708,68184.7101,127751.175,523743.471,322421.427,67063.7925,0
18,9,CA3631411886919840821,BLUE RIDGE,36.314,-118.869,1984,8,634.05,1.08,543.24,68.49,12.15,9.09,60788968.02,3220131.15,117715.203,896787.36,32325.0561,50655.0357,39160.26,36380.2653,57223.071,359014.815,325146.195,27372.3309,0
19,10,CA3640611884819840829,BAR-O,36.406,-118.848,1984,8,1209.15,0.18,988.47,193.41,25.11,1.98,129983097.8,6535167.66,275620.473,1901226.96,72033.4188,98619.6429,75970.431,77858.5455,105565.626,808214.22,826809.354,42287.3226,0
