,Unnamed: 0,Event_ID,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),Grass_Burned(ha),CO2(kg),CO(kg),CH4(kg),NMOC(kg),SO2(kg),NH3(kg),NO(kg),NO2(kg),NOx(kg),PM2.5(kg),OC(kg),BC(kg),TSLF
0,111,CA3518311714319860530,NSCRIPTION,35.183,-117.143,1986,5,1908.0,0.0,1017.09,890.91,0.0,0.0,124135966.1,7549970.4,172963.872,1883024.64,59552.2224,130327.9488,103463.28,75875.0112,166301.424,617691.6,288480.24,101554.1136,12
1,138,CA3510711875219870505,UNNAMED,35.107,-118.752,1987,5,985.77,14.76,95.4,835.65,39.96,0.0,37521146.52,2155522.05,58778.748,577787.76,22868.2881,35725.4802,32884.335,27070.3908,50584.581,195077.655,112299.345,25971.8859,39
2,296,CA3504111860819900807,TEJON,35.041,-118.608,1990,8,3099.87,73.26,2259.81,586.08,154.8,25.92,332497163.5,16833296.16,697027.698,4869250.56,183420.1908,255482.5662,197056.314,199275.5754,275823.252,2053746.252,2070561.456,113601.4164,24
3,338,CA3498911865719920822,MIDDLE RIDGE,34.989,-118.657,1992,8,2169.18,0.0,1701.0,377.28,79.38,11.52,233192695.9,11856377.25,485443.593,3417053.76,128142.1431,180581.8275,139234.608,139666.8627,195740.037,1434644.217,1433627.757,81993.8367,12
4,390,CA3517811715019930827,OPAL 2,35.177,-117.148,1993,8,3338.37,1.62,1210.95,2117.88,5.22,2.7,224771258.5,13686366.6,312707.268,3406232.16,106630.9956,236465.1072,186451.92,136231.3728,300086.856,1118378.7,522710.46,184292.6184,10
5,422,CA3525911502319940628,FORT PIUTE,35.259,-115.023,1994,6,2569.59,0.0,1099.98,1400.49,0.18,68.94,186980937.5,11411177.94,259410.474,2827658.88,86624.2566,197505.819,153520.56,111313.467,247756.05,930415.194,436058.37,153949.5126,2
6,420,CA3515511711219940813,OPAL 2,35.155,-117.112,1994,8,590.22,0.0,438.12,152.1,0.0,0.0,33135868.8,2004539.13,46495.89,504925.2,16718.5521,34458.228,28226.097,21044.8278,45099.153,164927.511,76755.573,26826.9975,11
7,478,CA3498511848219950730,LOPEZ,34.985,-118.482,1995,7,659.07,0.72,340.02,231.84,36.63,49.86,56406585.24,3135657.6,98978.562,840183.84,29070.5724,51076.305,39961.962,34056.6678,60684.768,315543.348,244465.848,32336.2728,11
8,525,CA3543811731619960608,UNNAMED,35.438,-117.316,1996,6,433.89,0.0,432.0,1.62,0.0,0.27,32365197.0,1976934.06,44839.44,489153.6,14880.7422,34239.24,26497.314,19160.6796,42802.506,161010.882,75409.326,26698.383,1
9,516,CA3494811847319960723,WHITEOAK,34.948,-118.473,1996,7,3400.56,1.08,3158.55,207.9,23.04,9.99,265518628.0,15835590.81,393861.789,3995930.88,125488.6875,270289.1943,209155.176,157507.9911,333170.793,1364842.485,761088.969,201347.3259,0
10,537,CA3622211804719960715,SAGE FLAT,36.222,-118.047,1996,7,587.07,0.0,77.94,345.78,51.3,112.05,37449207.0,2234759.4,54948.96,567151.2,18607.23,38117.466,30591.18,23205.006,48589.2,190842.66,101469.42,28732.68,25
11,620,CA3536311779319980801,GARLOCK 2,35.363,-117.793,1998,8,621.27,1.8,418.32,200.88,0.0,0.27,42252974.28,2580910.38,58537.872,638591.04,19426.131,44699.8608,34591.842,25013.646,55878.282,210200.706,98447.598,34855.1766,23
12,723,CA3606711705920000722,HAPPY,36.067,-117.059,2000,7,2420.73,0.0,774.45,1366.56,168.84,110.88,260539421.2,13372170.03,533374.389,3826608.48,142910.2629,205194.3003,159248.574,156865.9023,226015.515,1587088.539,1550064.051,97656.8409,36
13,852,CA3500511465220030716,LIGHTNING,35.005,-114.652,2003,7,424.44,0.0,66.51,159.3,192.51,6.12,23623102.8,1438781.76,32853.96,357912.0,11178.8352,24863.328,19575.144,14290.8336,31514.616,117538.272,54944.496,19378.404,22
14,942,CA3530711675720050525,RANGE,35.307,-116.757,2005,5,1000.53,3.96,666.18,18.54,0.0,311.85,6645001.32,284875.38,12865.608,126063.36,12276.0882,3323.2752,12264.102,12809.3796,16728.174,33571.566,12689.298,2329.4034,1
15,940,CA3508611531720050622,HACKBERRY COMPLEX,35.086,-115.317,2005,6,28258.38,4.59,12392.37,15356.07,37.98,467.37,634765712.4,31778809.83,1246138.38,10019790.0,547639.6491,469376.469,593361.477,590103.9288,834799.203,3642692.301,2944913.643,258513.8445,1
