,STATION,DATE,PDepth>0.01in,PDepth>0.1in,PDepth>1in,SDepth>1in,DaysT<32d,DaysT>70d,DaysT>90d,HighestDaySnow,HighestDayRain,HighestDayTemp,TotalRain,TotalSnow,AvgMonthMax
52,USC00457180,2004,93.0,68.0,1.0,12.0,9.0,116.0,30.0,53.0,36.8,38.9,428.4,519.0,16.0
53,USC00457180,2005,82.0,45.0,0.0,8.0,30.0,122.0,25.0,102.0,20.3,37.2,320.5,490.0,15.79
54,USC00457180,2006,82.0,55.0,0.0,6.0,10.0,128.0,42.0,51.0,17.8,40.6,375.0,197.0,16.33
55,USC00457180,2007,82.0,64.0,0.0,19.0,38.0,126.0,27.0,203.0,20.3,39.4,349.5,907.0,15.15
56,USC00457180,2008,90.0,58.0,0.0,21.0,24.0,126.0,24.0,457.0,19.1,41.1,351.6,1933.0,15.08
57,USC00457180,2009,95.0,73.0,0.0,13.0,31.0,132.0,33.0,152.0,14.0,40.0,372.4,657.0,15.33
58,USC00457180,2010,113.0,87.0,0.0,11.0,14.0,106.0,16.0,127.0,14.0,36.1,427.0,755.0,15.36
59,USC00457180,2011,102.0,93.0,0.0,13.0,23.0,107.0,19.0,127.0,15.2,36.7,411.3,547.0,14.25
60,USC00457180,2012,131.0,122.0,0.0,20.0,13.0,122.0,18.0,127.0,21.6,35.6,718.5,885.0,15.09
61,USC00457180,2013,99.0,80.0,1.0,16.0,36.0,113.0,29.0,178.0,25.4,36.1,445.6,925.0,14.84
62,USC00457180,2014,118.0,88.0,1.0,12.0,39.0,138.0,31.0,102.0,38.1,38.3,566.0,694.0,15.37
63,USC00457180,2015,86.0,59.0,0.0,13.0,24.0,151.0,31.0,140.0,22.9,40.6,422.8,761.0,16.83
64,USC00457180,2016,120.0,88.0,1.0,15.0,26.0,126.0,23.0,127.0,30.5,37.8,565.5,682.0,15.75
65,USC00457180,2017,,,,,,,,,,,,,
66,USC00457180,2019,,,,,34.0,112.0,14.0,,,37.2,,,14.58
67,USC00457180,2020,113.0,59.0,1.0,,15.0,117.0,20.0,,32.5,39.4,506.3,,15.74
68,USC00457180,2021,101.0,49.0,0.0,,22.0,131.0,46.0,,17.3,43.9,362.7,,16.39
69,USC00457180,2022,,,,,34.0,129.0,35.0,,,40.6,,,15.11
