,Unnamed: 0,Event_ID,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),Grass_Burned(ha),CO2(kg),CO(kg),CH4(kg),NMOC(kg),SO2(kg),NH3(kg),NO(kg),NO2(kg),NOx(kg),PM2.5(kg),OC(kg),BC(kg),TSLF
0,40,CA3800412064719840624,SALT SPRING,38.004,-120.647,1984,6,1957.23,0.36,56.43,1636.56,261.72,2.16,213409874.0,11061782.1,429930.207,3136425.84,115357.2084,171114.3603,131922.585,127608.0417,188996.814,1288748.34,1233604.71,84784.1166,1
1,13,CA3978412169619840702,BIDWELL,39.784,-121.696,1984,7,2432.25,3.33,1230.39,1151.73,46.08,0.72,289938402.9,14278479.57,635131.467,4227301.44,163264.3443,211707.5697,162955.602,173838.6621,221324.049,1837198.845,1955861.253,80504.8155,0
2,14,CA3998112259119840712,LOWERY,39.981,-122.591,1984,7,1158.93,3.42,237.15,739.71,178.65,0.0,60732129.24,3643909.65,86939.172,926285.04,31482.7929,62298.441,51750.927,39213.8028,82206.333,304790.463,148495.833,47952.6003,0
3,16,CA4007812006619840705,TURTLE,40.078,-120.066,1984,7,1610.82,0.0,401.49,1208.88,0.0,0.45,105556529.5,6247376.01,158490.216,1595635.92,52729.9029,106017.345,84911.175,65258.478,134234.685,544139.091,306266.445,78549.1299,1
4,15,CA4003412014019840821,SECOND,40.034,-120.14,1984,8,486.09,1.53,414.54,64.89,0.54,4.59,45807457.68,2466574.65,85945.014,677814.48,24070.8393,39277.278,30449.349,27455.5026,45116.001,265825.791,229707.621,22496.6871,0
5,17,CA4054812140719840823,BADGER,40.548,-121.407,1984,8,449.73,2.61,115.38,196.74,115.65,19.35,44918100.0,2266975.35,94572.162,657984.24,24972.3279,34311.9492,26619.579,27067.1454,37147.167,278046.441,281590.371,15058.4265,0
6,19,CA4126012012019840809,EAGLE,41.26,-120.12,1984,8,700.83,28.71,503.82,133.56,15.39,19.35,53619007.86,3088962.54,86857.353,802622.16,26446.8204,51560.5725,40054.959,32043.7791,62395.866,287890.38,193410.666,35671.8762,0
7,20,CA4192312065019840813,RAIL,41.923,-120.65,1984,8,1224.81,4.59,296.73,419.22,489.78,14.49,151009384.1,7707619.08,312285.303,2214484.56,82813.8222,117759.5991,90916.191,90524.7513,128315.232,925464.042,916740.864,54499.9068,1
8,41,CA4001112181719840907,BRUSHY,40.011,-121.817,1984,9,1131.3,0.0,83.61,1034.46,9.36,3.87,133152830.5,6681807.45,283083.543,1947857.76,74122.1271,100662.5745,77802.858,80003.4957,107908.497,829024.137,850421.457,42796.2987,1
9,12,CA3939212245119841024,CLARK VALLEY,39.392,-122.451,1984,10,594.9,0.0,282.42,304.83,6.57,1.08,57516182.46,3045343.05,111408.309,848890.08,30714.9003,47883.3651,37157.4,34549.4259,54272.133,339656.085,307479.465,25868.1807,7
10,91,CA4030512015819850519,SKEDADDLE,40.305,-120.158,1985,5,549.0,0.0,481.59,63.45,0.0,3.96,36236850.12,2205510.12,50442.588,549344.16,17263.746,38092.7232,30113.208,22033.08,48441.888,180305.244,84247.452,29686.0464,1
11,87,CA3885912285619850613,UNNAMED,38.859,-122.856,1985,6,3907.17,16.2,3253.41,483.93,46.89,106.74,294989449.0,15624550.8,567509.94,4377859.2,163735.992,245466.4572,197931.132,183933.0756,289075.824,1731118.608,1538200.008,134802.1152,0
